"sold","brand","battery_health_report","blind_spot_monitoring","rain_sensing_wipers","heated_seats","ventilated_seats","sunroof","wireless_phone_charging","apple_carplay_or_android_auto","navigation_system","voice_control","regenerative_braking_system","fast_charging_capabilities","range_estimator","black_and_white_premium_interior","glass_roof","subzero_weather_package","keyless_entry","ash_wood_decor","customer_age","customer_income","dealership_size","dealership_location","dealership_years_experience","customer_sex","trade_in","customer_satisfaction","price","seller_sex","seller_experience","trade_in_model","trade_in_mileage","trade_in_exterior_condition","trade_in_tire_condition","trade_in_engine_size","trade_in_value","longitude","latitude","state","customer_id","car_models","trade_in_fuel_type","trade_in_transmission_type"
0,"Tesla",1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,51,60888,2,"Suburban",25,"Male",1,5.33815878303122,45943.4368275106,"Male",6.42000619851622,"Chevrolet Malibu",95000,2,2,1.4,24579.7234606359,-78.0343639332111,43.0443746436721,"New York",20,"Chevrolet Malibu","gasoline","CVT"
0,"Toyota",0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,26,103158,1,"Suburban",41,"Female",0,3.93449304159177,40083.9684694074,"Female",1.42000619851622,"Ford Escape",5000,4,3,5.5,30000,-74.2460272446515,43.9385403029023,"New York",21,"Ford Escape","gasoline","automatic"
1,"Ford",0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,31,132004,2,"Urban",39,"Male",0,4.10080352540516,60501.5520767192,"Female",10,"Lexus IS",5000,2,3,5.7,30000,-73.6800067737711,43.4958792755682,"New York",22,"Lexus IS","gasoline","automatic"
1,"Tesla",1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,62,116228,5,"Suburban",43,"Female",0,4.17760906285017,56916.964979237,"Male",22,"Jeep Gladiator",95000,4,4,3.2,27897.6992396684,-74.685493390526,44.6282466276094,"New York",23,"Jeep Gladiator","gasoline","automatic"
0,"Ford",0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,34,112766,4,"Urban",23,"Male",0,4.39043826660955,54933.7611650117,"Female",20.4200061985162,"Chevrolet Malibu",95000,4,1,5.8,24297.4151644003,-78.858118822782,42.0631503729632,"New York",24,"Chevrolet Malibu","gasoline","CVT"
1,"Toyota",0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,33,78737,5,"Rural",26,"Female",0,3.60475406429114,46628.9106110809,"Male",3,"Kia Sportage",120000,2,3,1,26964.6476398665,-74.0979096844236,43.5915692468835,"New York",25,"Kia Sportage","gasoline","automatic"
0,"Ford",1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,28,31455,3,"Suburban",16,"Male",0,3.65689713145882,40491.6521930136,"Male",14.4200061985162,"Mercedes-Benz Metris",90000,1,3,2.7,17919.6325243291,-75.0790344375604,42.7243861658245,"New York",26,"Mercedes-Benz Metris","gasoline","automatic"
0,"Toyota",0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,29,98091,4,"Rural",6,"Female",0,3.84626282664006,21015.9832658246,"Female",23.4200061985162,"Tesla Model S",80000,5,2,1.9,26408.3951121045,-74.0823851895835,44.0883377010357,"New York",27,"Tesla Model S","electric","automatic"
1,"Toyota",0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,31,118987,1,"Urban",15,"Female",0,3.48867369679538,27139.2638631165,"Female",8,"Chevrolet City Express",80000,1,1,5.1,16460.3373607313,-73.9487455235232,43.6811321011368,"New York",28,"Chevrolet City Express","gasoline","automatic"
0,"Ford",0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,38,42453,1,"Suburban",2,"Female",0,3.36293543308741,38321.1866067722,"Male",-1.57999380148378,"Subaru Impreza",145000,5,5,3.3,24279.3294986474,-73.8256762308784,42.6241577184529,"New York",29,"Subaru Impreza","gasoline","manual"
0,"Tesla",0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,40,87000,1,"Suburban",4,"Female",0,4.50555674627352,45343.8347415067,"Male",11.4200061985162,"Nissan Rogue",25000,4,2,4,25534.3169345254,-78.995945423257,43.4204872373267,"New York",30,"Nissan Rogue","gasoline","CVT"
0,"Tesla",1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,36,119814,4,"Rural",50,"Male",1,4.38142171115081,71569.2542819306,"Female",16.4200061985162,"Jaguar E-PACE",20000,3,3,5.7,30000,-73.9247179136746,42.345315342281,"New York",31,"Jaguar E-PACE","gasoline","automatic"
0,"Tesla",1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,31,119367,1,"Suburban",3,"Female",1,5.52350048486722,47530.1408651285,"Male",19.4200061985162,"Kia Optima",135000,5,4,5.3,30000,-76.38446126475,42.2235187370632,"New York",32,"Kia Optima","gasoline","automatic"
1,"Ford",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,56,62187,1,"Suburban",22,"Female",0,4.52123061963817,46786.6995861172,"Male",14,"Kia Soul EV",55000,1,2,4.7,29122.9125940191,-73.7708778755908,43.7650779090512,"New York",33,"Kia Soul EV","electric","automatic"
1,"Tesla",1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,26,99284,1,"Suburban",14,"Female",0,3.39912586013136,60908.5155036533,"Female",13,"Toyota RAV4",35000,4,5,4.5,30000,-75.9260638127753,44.262406068422,"New York",34,"Toyota RAV4","gasoline","automatic"
0,"Toyota",0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,49,120893,3,"Urban",44,"Female",0,4.31293946193611,47661.3292447291,"Male",21.4200061985162,"Volkswagen Routan",110000,4,4,5.8,30000,-74.6973097816632,41.443232808201,"New York",35,"Volkswagen Routan","gasoline","automatic"
0,"Ford",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,30,117434,2,"Rural",13,"Female",0,3.62659860739061,34937.0912695304,"Male",18.4200061985162,"Honda Civic",115000,2,2,2.1,13362.8281654331,-75.0895992501812,43.8811405764364,"New York",36,"Honda Civic","gasoline","CVT"
0,"Ford",1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,21,91852,4,"Suburban",6,"Male",0,4.84441590842045,26581.4183454495,"Female",-0.57999380148378,"Nissan Leaf",130000,3,1,5.9,20210.5109064454,-77.368042602567,42.3468226295551,"New York",37,"Nissan Leaf","electric","automatic"
0,"Ford",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,61,63369,1,"Suburban",41,"Female",0,2.96973484943143,54848.2922906987,"Female",8.42000619851622,"Kia Sportage",35000,5,2,3,26932.9043536889,-74.6203417856617,43.152895124175,"New York",38,"Kia Sportage","gasoline","automatic"
0,"Ford",1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,29,53803,3,"Suburban",49,"Female",0,4.08816656318433,39632.6749678701,"Male",20.4200061985162,"Lexus IS",50000,5,2,5.8,30000,-72.6332462417872,40.9025736284777,"New York",39,"Lexus IS","gasoline","automatic"
1,"Toyota",0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,52,135370,5,"Urban",47,"Female",1,3.37656788157222,20833.3411152707,"Female",5,"Subaru Impreza",120000,2,4,1.9,26694.2715787921,-74.2874106969375,44.1380623309748,"New York",40,"Subaru Impreza","gasoline","manual"
0,"Toyota",0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,56,128929,3,"Suburban",27,"Female",0,3.29557394360735,32351.5048576519,"Male",9.42000619851622,"Mitsubishi Mirage",10000,2,5,5.7,28007.9756756075,-74.4673242487844,43.5999637429128,"New York",41,"Mitsubishi Mirage","gasoline","CVT"
0,"Ford",0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,60,40468,2,"Suburban",6,"Female",0,4.72043717493777,28791.9511040673,"Female",22.4200061985162,"Chevrolet Equinox",45000,1,2,4.6,12919.9895787584,-75.3397089734984,42.2607308301564,"New York",42,"Chevrolet Equinox","gasoline","automatic"
0,"Toyota",0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,56,84087,1,"Urban",1,"Female",0,3.56587151565419,32609.2011691071,"Male",14.4200061985162,"Mazda5",125000,3,1,5,22667.877004484,-73.4458669331526,44.0992137146958,"New York",43,"Mazda5","gasoline","manual"
0,"Tesla",1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,41,76529,1,"Urban",40,"Female",0,4.83869748410733,71958.9688442647,"Female",11.4200061985162,"Mini Cooper",5000,4,1,2.5,30000,-77.8650826913604,42.8779198293356,"New York",44,"Mini Cooper","gasoline","manual"
1,"Ford",0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,59,72225,3,"Urban",18,"Female",0,3.79072816885329,52914.4142365549,"Male",10,"Ford Ranger",25000,5,5,1.8,23366.8258835631,-74.2661871888985,42.7858687684256,"New York",45,"Ford Ranger","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,41,41191,3,"Rural",35,"Female",0,4.52109695292924,21009.7324056551,"Female",20.4200061985162,"Ford Mustang Mach-E",130000,2,2,4.7,30000,-74.7117079952768,44.1752057497871,"New York",46,"Ford Mustang Mach-E","electric","automatic"
0,"Toyota",0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,55,82812,4,"Suburban",37,"Female",1,2.77871034387443,48951.5012991615,"Female",19.4200061985162,"Jaguar I-PACE",145000,3,3,6,23427.6409802178,-78.2867187562498,43.4402837217462,"New York",47,"Jaguar I-PACE","electric","automatic"
0,"Tesla",1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,24,54271,1,"Suburban",17,"Female",0,4.75568469684355,46777.7692340314,"Female",25.4200061985162,"Toyota RAV4",60000,5,4,4.7,25000.7248390967,-74.1595179048372,42.1872076142212,"New York",48,"Toyota RAV4","gasoline","automatic"
1,"Ford",0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,55,121925,5,"Urban",31,"Male",0,3.74314346186048,38417.231573083,"Male",10,"Mercedes-Benz C-Class",30000,4,4,2.4,20891.1708841884,-76.5173779308303,42.038156066254,"New York",49,"Mercedes-Benz C-Class","gasoline","automatic"
1,"Tesla",1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,35,103025,1,"Urban",48,"Female",0,3.12618970593402,81162.3349748086,"Male",4,"Honda CR-V",35000,3,3,2.5,25921.1305385725,-73.4714059989616,44.82449022131,"New York",50,"Honda CR-V","gasoline","CVT"
0,"Ford",0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,27,34812,5,"Urban",22,"Male",0,5.16363282890772,42554.1915767826,"Female",19.4200061985162,"Lucid Air",85000,3,2,2,30000,-74.6398232330183,42.3658505460629,"New York",51,"Lucid Air","electric","automatic"
0,"Toyota",0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,44,143901,1,"Rural",40,"Male",1,4.34598441518753,45638.0869681016,"Male",10.4200061985162,"Chevrolet Bolt",50000,2,1,1.2,27334.151510666,-73.9156777441476,41.0596177855683,"New York",52,"Chevrolet Bolt","electric","automatic"
0,"Tesla",1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,33,78833,2,"Suburban",14,"Male",0,5.27401702115216,59319.1286060028,"Female",15.4200061985162,"Mercedes-Benz Metris",40000,4,3,3.8,27129.503870126,-75.6504054544716,43.3916683064737,"New York",53,"Mercedes-Benz Metris","gasoline","automatic"
1,"Ford",0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,51,111539,4,"Suburban",34,"Male",1,4.32763591131912,66201.4543226804,"Male",23,"Porsche Macan",85000,5,1,4.7,30000,-74.2054838386133,44.1775985355713,"New York",54,"Porsche Macan","gasoline","automatic"
0,"Tesla",1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,36,51550,1,"Rural",8,"Male",0,5.54947789666787,54665.6676544808,"Female",23.4200061985162,"Honda Odyssey",145000,1,4,2.7,12946.4786072664,-74.6744942261138,42.7904487895788,"New York",55,"Honda Odyssey","gasoline","automatic"
1,"Tesla",1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,52,70828,4,"Rural",8,"Female",0,4.65004298152468,94352.8292436619,"Female",28,"Jaguar I-PACE",65000,5,2,1.7,30000,-73.6165509175215,44.5239512387595,"New York",56,"Jaguar I-PACE","electric","automatic"
0,"Toyota",1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,47,101168,2,"Suburban",9,"Male",1,2.85817450996977,43731.3128006645,"Male",24.4200061985162,"Ford Fiesta",45000,1,4,3.9,19057.7412829008,-78.9066110900754,43.1245065167787,"New York",57,"Ford Fiesta","gasoline","manual"
0,"Tesla",1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,48,90411,1,"Rural",24,"Female",0,4.85745518033765,44364.1595286317,"Female",9.42000619851622,"Chevrolet Bolt",115000,2,4,1.1,30000,-74.4886017974846,43.8963016483539,"New York",58,"Chevrolet Bolt","electric","automatic"
0,"Ford",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,54,31017,4,"Urban",40,"Female",0,3.05151462743022,44617.3082164023,"Female",1.42000619851622,"Smart Fortwo",40000,1,4,1,26849.8549007329,-73.7807055454817,43.3676488505128,"New York",59,"Smart Fortwo","electric","automatic"
1,"Tesla",0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,28,121781,2,"Urban",21,"Female",1,5.06714923782891,59215.8206441207,"Female",9,"Cadillac XT4",90000,3,1,2.6,27686.1007703368,-74.1976404744262,41.4005582593544,"New York",60,"Cadillac XT4","gasoline","automatic"
0,"Tesla",0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,64,37486,3,"Suburban",2,"Male",1,4.38258802014314,45216.8069058098,"Female",13.4200061985162,"Acura RDX",90000,5,3,3.9,30000,-75.2263328096329,44.8056680507411,"New York",61,"Acura RDX","gasoline","automatic"
0,"Tesla",1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,53,137651,3,"Rural",32,"Female",1,3.61969021433295,86079.4164682738,"Female",0.420006198516223,"Mercedes-Benz C-Class",65000,1,2,1.1,22369.5489360616,-74.2752810123781,43.9511171649468,"New York",62,"Mercedes-Benz C-Class","gasoline","automatic"
0,"Ford",1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,45,126312,2,"Rural",34,"Male",1,4.09977310429097,28207.044537412,"Female",25.4200061985162,"Honda Odyssey",105000,4,5,5.6,20048.3390287983,-73.793218954618,41.3597716740604,"New York",63,"Honda Odyssey","gasoline","automatic"
0,"Ford",0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,23,51350,2,"Suburban",8,"Male",0,5.02447468704215,37432.7482108492,"Female",19.4200061985162,"Toyota Corolla",115000,1,1,2,30000,-74.328452923545,43.9876706865034,"New York",64,"Toyota Corolla","gasoline","CVT"
1,"Ford",0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,65,63050,3,"Urban",25,"Male",1,3.9289214731566,65633.542692929,"Male",26,"Infiniti Q50",85000,3,3,2.4,30000,-74.1099430636797,44.2423029837447,"New York",65,"Infiniti Q50","gasoline","automatic"
1,"Tesla",1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,42,98740,2,"Suburban",4,"Male",1,4.35276270220435,48997.826834349,"Male",28,"Lincoln MKZ",219145.054839551,1,4,3.6,22361.2074702044,-79.0323448697277,42.7669599216516,"New York",66,"Lincoln MKZ","gasoline","automatic"
0,"Toyota",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,51,115821,5,"Urban",44,"Male",1,3.33766459131016,20852.5399048813,"Female",17.4200061985162,"Chevrolet Malibu",65000,3,3,1.5,26878.5546641368,-75.2641540942157,42.7376816199114,"New York",67,"Chevrolet Malibu","gasoline","CVT"
0,"Ford",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,44,63375,3,"Urban",35,"Male",0,2.7672815758137,26234.7140337806,"Male",9.42000619851622,"Fiat 500",5000,3,4,2.4,30000,-74.4725928070243,41.7092807540726,"New York",68,"Fiat 500","gasoline","manual"
0,"Tesla",1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,61,35030,3,"Suburban",40,"Female",0,4.32525618054869,55849.2430346087,"Male",20.4200061985162,"BMW X1",130000,2,3,1.7,22828.6433009737,-75.3923199917955,44.2873572573892,"New York",69,"BMW X1","gasoline","automatic"
1,"Ford",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,44,47048,5,"Rural",46,"Female",1,4.12640199597814,27454.9971732253,"Male",9,"Jaguar I-PACE",95000,4,2,5.2,30000,-77.4475248139783,43.0371489568904,"New York",70,"Jaguar I-PACE","electric","automatic"
0,"Ford",0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,35,78917,2,"Urban",31,"Male",1,3.75774470533692,32971.6613434721,"Male",5.42000619851622,"Nissan Versa",150000,3,3,2.1,12825.3639022529,-76.1342919176669,43.9763920101838,"New York",71,"Nissan Versa","gasoline","CVT"
0,"Ford",1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,41,70317,1,"Suburban",38,"Female",0,3.19527381169664,45716.3541112095,"Male",3.42000619851622,"Chrysler Pacifica",80000,1,1,1.9,28396.9799296375,-73.5029920134134,45.0028948614926,"New York",72,"Chrysler Pacifica","gasoline","automatic"
0,"Toyota",0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,59,74250,5,"Urban",43,"Male",0,3.12360003250077,46844.3194939755,"Female",4.42000619851622,"Audi A4",95000,4,1,1.5,16068.3472591723,-77.7944188814162,42.2375327250636,"New York",73,"Audi A4","gasoline","automatic"
1,"Ford",0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,58,83562,3,"Rural",17,"Male",1,3.8543135144445,43694.3351910741,"Female",15,"Infiniti Q50",15000,1,5,1.1,21938.5704397759,-77.4661153480388,43.34212998847,"New York",74,"Infiniti Q50","gasoline","automatic"
1,"Tesla",1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,33,133382,2,"Urban",13,"Female",1,5.62253838399417,82446.5635959059,"Male",10,"Lexus NX",110000,4,4,4.3,25760.6753118415,-77.6373812637101,43.5377352172205,"New York",75,"Lexus NX","gasoline","automatic"
1,"Tesla",1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,24,140672,1,"Urban",44,"Female",1,4.58131709257391,51173.2601054711,"Male",1,"Audi A4",35000,1,4,4.2,23350.2598066608,-74.6229864389823,44.9774320323279,"New York",76,"Audi A4","gasoline","automatic"
0,"Toyota",0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,40,94112,1,"Suburban",35,"Male",0,4.1245950070932,31345.1383588836,"Male",10.4200061985162,"Ford Focus",140000,5,4,4.4,18095.4454974215,-74.7949464853528,41.45900254554,"New York",77,"Ford Focus","gasoline","manual"
0,"Toyota",0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,31,80354,5,"Urban",13,"Male",0,3.13133072768181,20819.5309294388,"Female",20.4200061985162,"Land Rover Range Rover Evoque",10000,2,4,4.2,19075.9833207441,-74.3240023896163,43.3617380862886,"New York",78,"Land Rover Range Rover Evoque","gasoline","automatic"
1,"Ford",0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,59,85382,2,"Suburban",21,"Male",1,4.0253304012661,53014.10000053,"Female",2,"Audi e-Tron",95000,2,4,5.9,23342.1588801825,-78.5318666332671,43.4281313745178,"New York",79,"Audi e-Tron","electric","automatic"
1,"Toyota",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,19,77141,4,"Rural",19,"Male",1,3.76054873242699,41945.3780344222,"Female",21,"Nissan Versa",130000,3,5,1.8,25434.298702974,-74.2525676724517,44.9821553406804,"New York",80,"Nissan Versa","gasoline","CVT"
1,"Tesla",1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,45,65495,2,"Rural",9,"Female",1,4.18515433372389,71551.0779296164,"Female",25,"BMW X1",35000,1,2,5.5,22633.5804544432,-73.4165926549992,44.8205061470229,"New York",81,"BMW X1","gasoline","automatic"
0,"Ford",0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,35,91444,3,"Urban",50,"Male",1,4.48411475445145,50320.5924516078,"Male",16.4200061985162,"Honda Odyssey",70000,2,4,5.9,25316.1432931788,-78.8196951485269,43.106736574688,"New York",82,"Honda Odyssey","gasoline","automatic"
0,"Toyota",0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,63,39484,2,"Suburban",4,"Male",0,3.50518274842652,45247.4854257889,"Male",14.4200061985162,"Nissan Leaf",95000,2,2,5.2,15231.6466126357,-74.179666136277,44.6709578715072,"New York",83,"Nissan Leaf","electric","automatic"
